memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
64,4580,500000,5.006462574005127,REC,RandomHashFamily,177.92751091703056,819488.0,1
128,4580,500000,0.9597127437591553,REC,SHA-256,0.23646288209606986,5663.0,1
128,4580,500000,0.3262298107147217,REC,xxHash32,0.28864628820960697,3258.0,1
128,4580,500000,0.13210654258728027,REC,Python Hash,6.820960698689956,35820.0,1
128,4580,500000,5.080332279205322,REC,RandomHashFamily,113.62685589519651,524991.0,1
256,4580,500000,1.0590178966522217,REC,SHA-256,0.19694323144104803,5482.0,1
256,4580,500000,0.36194372177124023,REC,xxHash32,0.05655021834061135,4321.0,1
256,4580,500000,0.1695551872253418,REC,Python Hash,3.9679039301310044,22753.0,1
256,4580,500000,5.131989479064941,REC,RandomHashFamily,116.77205240174672,539396.0,1
512,4580,500000,1.050788164138794,REC,SHA-256,0.1349344978165939,5198.0,1
512,4580,500000,0.4110755920410156,REC,xxHash32,0.08078602620087336,4210.0,1
512,4580,500000,0.24961447715759277,REC,Python Hash,2.218122270742358,14739.0,1
512,4580,500000,5.220937252044678,REC,RandomHashFamily,116.09847161572053,536311.0,1
1024,4580,500000,1.2208101749420166,REC,SHA-256,0.011790393013100437,4634.0,1
1024,4580,500000,0.5662920475006104,REC,xxHash32,0.011572052401746726,4527.0,1
1024,4580,500000,0.4594879150390625,REC,Python Hash,1.0960698689956332,9600.0,1
1024,4580,500000,5.562682151794434,REC,RandomHashFamily,104.23930131004367,481996.0,1
2048,4580,500000,1.5720415115356445,REC,SHA-256,0.004585152838427947,4559.0,1
2048,4580,500000,0.9210267066955566,REC,xxHash32,0.004148471615720524,4561.0,1
2048,4580,500000,0.901871919631958,REC,Python Hash,0.3753275109170306,6299.0,1
2048,4580,500000,7.130694389343262,REC,RandomHashFamily,104.4443231441048,482935.0,1
16,3004,1000000,1.9826979637145996,REC,SHA-256,0.3202396804260985,2042.0,1
16,3004,1000000,0.6461894512176514,REC,xxHash32,0.3249001331557923,3980.0,1
16,3004,1000000,0.24494600296020508,REC,Python Hash,67.19174434087883,204848.0,1
