source,memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
midsummer-nights-dream,128,3136,13609,0.01036229133605957,REC,Python Hash,0.02295918367346939,3208.0,10
midsummer-nights-dream,256,3136,13609,0.04596192836761474,REC,SHA-256,0.06536989795918367,3341.0,10
midsummer-nights-dream,256,3136,13609,0.028591847419738768,REC,xxHash32,0.018494897959183677,3078.0,10
midsummer-nights-dream,256,3136,13609,0.024296259880065917,REC,Python Hash,0.04878826530612245,2983.0,10
midsummer-nights-dream,512,3136,13609,0.08772673606872558,REC,SHA-256,0.0117984693877551,3099.0,10
midsummer-nights-dream,512,3136,13609,0.07063050270080566,REC,xxHash32,0.013711734693877552,3179.0,10
midsummer-nights-dream,512,3136,13609,0.06717395782470703,REC,Python Hash,0.027423469387755105,3222.0,10
midsummer-nights-dream,1024,3136,13609,0.1995404005050659,REC,SHA-256,0.016581632653061226,3188.0,10
midsummer-nights-dream,1024,3136,13609,0.1739100456237793,REC,xxHash32,0.02614795918367347,3054.0,10
midsummer-nights-dream,1024,3136,13609,0.17519519329071045,REC,Python Hash,0.020727040816326533,3201.0,10
midsummer-nights-dream,2048,3136,13609,0.3742795944213867,REC,SHA-256,0.010522959183673467,3169.0,10
midsummer-nights-dream,2048,3136,13609,0.34905829429626467,REC,xxHash32,0.003826530612244898,3124.0,10
midsummer-nights-dream,2048,3136,13609,0.34443833827972414,REC,Python Hash,0.0009566326530612245,3133.0,10
quijote,16,23034,264853,0.47016546726226804,REC,SHA-256,0.7358253017278804,6085.0,10
quijote,16,23034,264853,0.14665417671203612,REC,xxHash32,0.6422679517235392,8240.0,10
quijote,16,23034,264853,0.06889965534210205,REC,Python Hash,0.5328644612312236,35308.0,10
quijote,32,23034,264853,0.4716590166091919,REC,SHA-256,0.06998350264825912,24646.0,10
quijote,32,23034,264853,0.14825451374053955,REC,xxHash32,0.282842754189459,16519.0,10
quijote,32,23034,264853,0.06915266513824463,REC,Python Hash,0.5479291482156813,35655.0,10
quijote,64,23034,264853,0.47673037052154543,REC,SHA-256,0.23921160024311888,17524.0,10
quijote,64,23034,264853,0.1503681421279907,REC,xxHash32,0.2959538074151254,16217.0,10
quijote,64,23034,264853,0.07222528457641601,REC,Python Hash,0.12099505079447773,25821.0,10
quijote,128,23034,264853,0.4896066904067993,REC,SHA-256,0.08396283754449942,21100.0,10
quijote,128,23034,264853,0.16310508251190187,REC,xxHash32,0.1849005817487193,18775.0,10
quijote,128,23034,264853,0.07950470447540284,REC,Python Hash,0.021489971346704873,23529.0,10
quijote,256,23034,264853,0.5163864135742188,REC,SHA-256,0.08274724320569593,21128.0,10
quijote,256,23034,264853,0.18579473495483398,REC,xxHash32,0.1449162108187896,19696.0,10
quijote,256,23034,264853,0.10682578086853027,REC,Python Hash,0.0005643830858730572,23021.0,10
quijote,512,23034,264853,0.6220616340637207,REC,SHA-256,0.014109577146826428,23359.0,10
quijote,512,23034,264853,0.28121535778045653,REC,xxHash32,0.0435443257792828,22031.0,10
quijote,512,23034,264853,0.20363860130310057,REC,Python Hash,0.003516540765824433,22953.0,10
quijote,1024,23034,264853,0.9561284065246582,REC,SHA-256,0.0005643830858730572,23021.0,10
quijote,1024,23034,264853,0.5875026702880859,REC,xxHash32,0.07475905183641574,21312.0,10
quijote,1024,23034,264853,0.516961932182312,REC,Python Hash,0.02913085004775549,23705.0,10
quijote,2048,23034,264853,1.916827344894409,REC,SHA-256,0.05352956499088303,21801.0,10
quijote,2048,23034,264853,1.6035581827163696,REC,xxHash32,0.045194060953373284,21993.0,10
quijote,2048,23034,264853,1.5808295965194703,REC,Python Hash,0.023356776938438826,23572.0,10
valley-fear,16,5829,47064,0.08370578289031982,REC,SHA-256,0.4957968776805627,2939.0,10
valley-fear,16,5829,47064,0.026499342918395997,REC,xxHash32,0.12969634585692227,5073.0,10
valley-fear,16,5829,47064,0.012450242042541504,REC,Python Hash,0.04391833933779378,6085.0,10
valley-fear,32,5829,47064,0.08345687389373779,REC,SHA-256,0.4621718991250644,3135.0,10
valley-fear,32,5829,47064,0.02730128765106201,REC,xxHash32,0.44535940984731515,3233.0,10
valley-fear,32,5829,47064,0.013224077224731446,REC,Python Hash,0.09246869102762054,5290.0,10
valley-fear,64,5829,47064,0.08658127784729004,REC,SHA-256,0.2669411562875279,4273.0,10
valley-fear,64,5829,47064,0.030408787727355956,REC,xxHash32,0.08903757076685538,5310.0,10
valley-fear,64,5829,47064,0.01778557300567627,REC,Python Hash,0.04734945959855892,6105.0,10
valley-fear,128,5829,47064,0.098537278175354,REC,SHA-256,0.20809744381540574,7042.0,10
valley-fear,128,5829,47064,0.03476545810699463,REC,xxHash32,0.05832904443300736,5489.0,10
valley-fear,128,5829,47064,0.021237277984619142,REC,Python Hash,0.35769428718476576,7914.0,10
valley-fear,256,5829,47064,0.11157095432281494,REC,SHA-256,0.09915937553611254,6407.0,10
valley-fear,256,5829,47064,0.05201122760772705,REC,xxHash32,0.02864985417738892,5996.0,10
valley-fear,256,5829,47064,0.04010164737701416,REC,Python Hash,0.1883685023160062,6927.0,10
valley-fear,512,5829,47064,0.1782362699508667,REC,SHA-256,0.08817979070166411,6343.0,10
valley-fear,512,5829,47064,0.11346352100372314,REC,xxHash32,0.024360953851432495,5687.0,10
valley-fear,512,5829,47064,0.09908387660980225,REC,Python Hash,0.002573340195573855,5844.0,10
valley-fear,1024,5829,47064,0.35118653774261477,REC,SHA-256,0.0207582775776291,5950.0,10
valley-fear,1024,5829,47064,0.28894383907318116,REC,xxHash32,0.010636472808371933,5767.0,10
valley-fear,1024,5829,47064,0.2770695686340332,REC,Python Hash,0.013552925030022301,5750.0,10
valley-fear,2048,5829,47064,0.7941129207611084,REC,SHA-256,0.002573340195573855,5814.0,10
valley-fear,2048,5829,47064,0.7243901252746582,REC,xxHash32,0.006690684508492023,5868.0,10
valley-fear,2048,5829,47064,0.6921882152557373,REC,Python Hash,0.0010293360782295418,5823.0,10
war-peace,16,17475,458701,0.8167752981185913,REC,SHA-256,0.6915593705293277,5390.0,10
war-peace,16,17475,458701,0.2593196630477905,REC,xxHash32,0.6069241773962802,6869.0,10
war-peace,16,17475,458701,0.11985650062561035,REC,Python Hash,0.1019170243204578,19256.0,10
war-peace,32,17475,458701,0.8288841485977173,REC,SHA-256,0.47319027181688134,9206.0,10
war-peace,32,17475,458701,0.25559704303741454,REC,xxHash32,0.283376251788269,12523.0,10
war-peace,32,17475,458701,0.11760821342468261,REC,Python Hash,0.346552217453505,11419.0,10
war-peace,64,17475,458701,0.813453197479248,REC,SHA-256,0.25310443490701,13052.0,10
war-peace,64,17475,458701,0.2599060297012329,REC,xxHash32,0.03439198855507868,18076.0,10
war-peace,64,17475,458701,0.12268004417419434,REC,Python Hash,0.25310443490701,13052.0,10
war-peace,128,17475,458701,0.8134748458862304,REC,SHA-256,0.18809728183118743,14188.0,10
war-peace,128,17475,458701,0.2597069263458252,REC,xxHash32,0.08045779685264663,16069.0,10
war-peace,128,17475,458701,0.13190772533416747,REC,Python Hash,0.09464949928469243,15821.0,10
war-peace,256,17475,458701,0.8756062030792237,REC,SHA-256,0.046866952789699566,16656.0,10
war-peace,256,17475,458701,0.2961021900177002,REC,xxHash32,0.035650929899856944,16852.0,10
war-peace,256,17475,458701,0.15809876918792726,REC,Python Hash,0.12520743919885555,15287.0,10
war-peace,512,17475,458701,0.9867356777191162,REC,SHA-256,0.012188841201716736,17262.0,10
war-peace,512,17475,458701,0.3908230304718018,REC,xxHash32,0.0848068669527897,18957.0,10
war-peace,512,17475,458701,0.24974336624145507,REC,Python Hash,0.1057510729613734,15627.0,10
war-peace,1024,17475,458701,1.2853103160858155,REC,SHA-256,0.020085836909871247,17826.0,10
war-peace,1024,17475,458701,0.6986040830612182,REC,xxHash32,0.053447782546495,18409.0,10
war-peace,1024,17475,458701,0.5520902633666992,REC,Python Hash,0.03914163090128755,18159.0,10
war-peace,2048,17475,458701,2.207347869873047,REC,SHA-256,0.009842632331902718,17647.0,10
war-peace,2048,17475,458701,1.563201117515564,REC,xxHash32,0.001945636623748212,17509.0,10
war-peace,2048,17475,458701,1.4351792097091676,REC,Python Hash,0.000457796852646638,17467.0,10
