source,memory,cardinality,total_elements,average_time,algorithm,hash_function,average_error,average_estimated_cardinality,nb_of_run
valley-fear,256,5829,47064,0.1862968921661377,HLL,RandomHashFamily,0.04840602716667637,5666.797442578396,10
valley-fear,512,5829,47064,0.20570192337036133,HLL,SHA-256,0.09236189098252809,6367.377462537157,10
valley-fear,512,5829,47064,0.13753292560577393,HLL,xxHash32,0.07789574811488409,6283.05431576166,10
valley-fear,512,5829,47064,0.10926644802093506,HLL,Python Hash,0.024193297869598163,5970.022733281889,10
valley-fear,512,5829,47064,0.18321595191955567,HLL,RandomHashFamily,0.03247820229528507,5865.00344160403,10
war-peace,16,17475,458701,2.0017285108566285,HLL,SHA-256,0.32147353028423387,11857.250058283013,10
war-peace,16,17475,458701,1.3166759967803956,HLL,xxHash32,0.05393305052394888,18417.480057906007,10
war-peace,16,17475,458701,1.0564379215240478,HLL,Python Hash,0.19653116812377472,20909.38216296296,10
war-peace,16,17475,458701,1.7756726026535035,HLL,RandomHashFamily,0.22564878977824027,18914.976063540656,10
war-peace,64,17475,458701,1.9655565977096559,HLL,SHA-256,0.003203626815839419,17530.983378606794,10
war-peace,64,17475,458701,1.345314383506775,HLL,xxHash32,0.12990532933590004,15204.90436985515,10
war-peace,64,17475,458701,1.0673306465148926,HLL,Python Hash,0.1741083843919206,20517.544017248812,10
war-peace,64,17475,458701,1.7886874198913574,HLL,RandomHashFamily,0.11546345839117386,16450.154263343014,10
war-peace,256,17475,458701,1.9395710468292235,HLL,SHA-256,0.06547646400248233,16330.798791556623,10
war-peace,256,17475,458701,1.3268017530441285,HLL,xxHash32,0.0012387069740289942,17496.646404371157,10
war-peace,256,17475,458701,1.0428242683410645,HLL,Python Hash,0.020618535855585204,17114.691085923645,10
war-peace,256,17475,458701,1.790712547302246,HLL,RandomHashFamily,0.08563409408511632,18237.316383289603,10
war-peace,512,17475,458701,2.0249338388442992,HLL,SHA-256,0.06296459934491751,16374.69362644757,10
war-peace,512,17475,458701,1.3621679544448853,HLL,xxHash32,0.01204348430419075,17264.540111784267,10
war-peace,512,17475,458701,1.0913027048110961,HLL,Python Hash,0.003134625268432347,17420.222423434145,10
war-peace,512,17475,458701,1.8571406126022338,HLL,RandomHashFamily,0.04020333224554386,17642.333852187636,10
crusoe,32,6245,91813,0.390720796585083,HLL,SHA-256,0.06608821804575835,5832.279078304238,10
crusoe,32,6245,91813,0.26629960536956787,HLL,xxHash32,0.0963074489568234,6846.440018735362,10
crusoe,32,6245,91813,0.2022854804992676,HLL,Python Hash,0.15852460495753082,5255.013842040221,10
crusoe,32,6245,91813,0.34443795680999756,HLL,RandomHashFamily,0.1456906480866665,6628.426525084818,10
crusoe,128,6245,91813,0.383280348777771,HLL,SHA-256,0.08553493508293011,5710.834330407101,10
crusoe,128,6245,91813,0.25886642932891846,HLL,xxHash32,0.09569600668484703,6842.62156174687,10
crusoe,128,6245,91813,0.20427467823028564,HLL,Python Hash,0.03101302591215333,6051.323653178602,10
crusoe,128,6245,91813,0.3444422960281372,HLL,RandomHashFamily,0.06337338525642136,6070.179363597386,10
crusoe,1024,6245,91813,0.3861112356185913,HLL,SHA-256,0.01152686875251226,6316.985295359439,10
crusoe,1024,6245,91813,0.2566852331161499,HLL,xxHash32,0.007648183889451482,6292.7629083896245,10
crusoe,1024,6245,91813,0.20304040908813475,HLL,Python Hash,0.029288983225761085,6062.090299755123,10
crusoe,1024,6245,91813,0.3448064088821411,HLL,RandomHashFamily,0.0270946509835713,6384.19160828601,10
crusoe,2048,6245,91813,0.3890475511550903,HLL,SHA-256,0.007457054653013874,6291.569306308071,10
crusoe,2048,6245,91813,0.2570396661758423,HLL,xxHash32,0.015513996597352284,6341.884908750465,10
crusoe,2048,6245,91813,0.20256235599517822,HLL,Python Hash,0.007867786033405417,6195.865676221382,10
crusoe,2048,6245,91813,0.342522931098938,HLL,RandomHashFamily,0.014495579229499156,6335.524892288222,10
dracula,32,9425,124249,0.5157392024993896,HLL,SHA-256,0.05003554591428548,8953.41497975786,10
dracula,32,9425,124249,0.3466588020324707,HLL,xxHash32,0.1756060134124096,7769.913323588039,10
dracula,32,9425,124249,0.27093870639801027,HLL,Python Hash,0.03690048529840977,9077.21292606249,10
dracula,32,9425,124249,0.4601836442947388,HLL,RandomHashFamily,0.1211226832661293,8557.545945624357,10
dracula,128,9425,124249,0.5158997297286987,HLL,SHA-256,0.05590351066980283,8898.10941193711,10
dracula,128,9425,124249,0.3490800619125366,HLL,xxHash32,0.02438709579054754,9195.15162217409,10
dracula,128,9425,124249,0.2745556116104126,HLL,Python Hash,0.05925063644646754,9983.437248507955,10
dracula,128,9425,124249,0.4601501703262329,HLL,RandomHashFamily,0.0648387426750808,9240.55490789234,10
dracula,1024,9425,124249,0.5119937181472778,HLL,SHA-256,0.05670350741505421,9959.430557386888,10
dracula,1024,9425,124249,0.3471034049987793,HLL,xxHash32,0.02000351968439008,9236.466826974622,10
dracula,1024,9425,124249,0.2733862638473511,HLL,Python Hash,0.010985715141906398,9528.540365212468,10
dracula,1024,9425,124249,0.46022279262542726,HLL,RandomHashFamily,0.016958782829036425,9319.038744113568,10
dracula,2048,9425,124249,0.5177655696868897,HLL,SHA-256,0.0010086562355218485,9415.493414980208,10
dracula,2048,9425,124249,0.3471410274505615,HLL,xxHash32,0.019779121896341543,9611.418223873017,10
dracula,2048,9425,124249,0.27297961711883545,HLL,Python Hash,0.022647377729847783,9211.548464896185,10
dracula,2048,9425,124249,0.4579990148544312,HLL,RandomHashFamily,0.010661243913224306,9407.952669581991,10
iliad,32,8925,124944,0.5189400434494018,HLL,SHA-256,0.2040273816484866,7104.055618787257,10
iliad,32,8925,124944,0.34840381145477295,HLL,xxHash32,0.0024641760483840496,8946.99277123183,10
iliad,32,8925,124944,0.2733073949813843,HLL,Python Hash,0.054079387043634755,9407.658529364442,10
iliad,32,8925,124944,0.46747117042541503,HLL,RandomHashFamily,0.135636254960151,9661.156398702866,10
iliad,128,8925,124944,0.5304420232772827,HLL,SHA-256,0.009146532621093214,9006.632803643255,10
iliad,128,8925,124944,0.3640204191207886,HLL,xxHash32,0.055575360899304184,8428.989903973708,10
iliad,128,8925,124944,0.2817035436630249,HLL,Python Hash,9.068770277710418e-05,8924.190612252714,10
iliad,128,8925,124944,0.4663934946060181,HLL,RandomHashFamily,0.06027033715278174,8978.261835225803,10
iliad,1024,8925,124944,0.51205472946167,HLL,SHA-256,0.07579365043487504,9601.458330131258,10
iliad,1024,8925,124944,0.35064215660095216,HLL,xxHash32,0.0028922003877267432,8899.187111539537,10
iliad,1024,8925,124944,0.27248947620391845,HLL,Python Hash,0.022283403305163797,9123.879374498587,10
iliad,1024,8925,124944,0.463970947265625,HLL,RandomHashFamily,0.023893089838084712,9017.052944068018,10
iliad,2048,8925,124944,0.5140357971191406,HLL,SHA-256,0.024803334221507215,9146.369757926952,10
iliad,2048,8925,124944,0.3471027135848999,HLL,xxHash32,0.014023588467640031,9050.160527073689,10
iliad,2048,8925,124944,0.273688817024231,HLL,Python Hash,0.0012698728348612667,8913.666384948865,10
iliad,2048,8925,124944,0.46236581802368165,HLL,RandomHashFamily,0.019247380612542074,8753.217128033062,10
mare-balena,32,5670,18474,0.07775266170501709,HLL,SHA-256,0.10641923712934698,5066.602925476603,10
mare-balena,32,5670,18474,0.05285205841064453,HLL,xxHash32,0.15604506766001516,6554.775533632286,10
mare-balena,32,5670,18474,0.04080557823181152,HLL,Python Hash,0.16584759791151346,6610.355880158282,10
mare-balena,32,5670,18474,0.06932010650634765,HLL,RandomHashFamily,0.10652437176903398,5654.215923840635,10
mare-balena,128,5670,18474,0.07676229476928711,HLL,SHA-256,0.05946193602132995,5332.850822759058,10
mare-balena,128,5670,18474,0.05145599842071533,HLL,xxHash32,0.07679764867362106,6105.442667979432,10
mare-balena,128,5670,18474,0.04058837890625,HLL,Python Hash,0.052663510071436284,5968.602102105043,10
mare-balena,128,5670,18474,0.06933493614196777,HLL,RandomHashFamily,0.11738600843897848,5432.918898256392,10
mare-balena,1024,5670,18474,0.07725005149841309,HLL,SHA-256,0.05175363754067665,5963.443124855637,10
mare-balena,1024,5670,18474,0.05318696498870849,HLL,xxHash32,0.006810963519482127,5708.618163155464,10
mare-balena,1024,5670,18474,0.04108397960662842,HLL,Python Hash,0.003036002342269282,5687.214133280666,10
mare-balena,1024,5670,18474,0.06881680488586425,HLL,RandomHashFamily,0.01682527773876375,5613.308197119218,10
mare-balena,2048,5670,18474,0.07652018070220948,HLL,SHA-256,0.04221110742683686,5909.336979110165,10
mare-balena,2048,5670,18474,0.05267186164855957,HLL,xxHash32,0.007858898815280119,5714.559956282638,10
mare-balena,2048,5670,18474,0.04111127853393555,HLL,Python Hash,0.0397399819116509,5895.325697439061,10
mare-balena,2048,5670,18474,0.06976091861724854,HLL,RandomHashFamily,0.019059569205782594,5762.902858912369,10
midsummer-nights-dream,32,3136,13609,0.057439875602722165,HLL,SHA-256,0.0369667734862541,3020.0721983471076,10
midsummer-nights-dream,32,3136,13609,0.03780930042266846,HLL,xxHash32,0.040710201803300095,3263.6671928551486,10
midsummer-nights-dream,32,3136,13609,0.031198716163635253,HLL,Python Hash,0.0642748674877731,2934.434015558344,10
midsummer-nights-dream,32,3136,13609,0.05193297863006592,HLL,RandomHashFamily,0.14819344514805155,3289.6690187394306,10
midsummer-nights-dream,128,3136,13609,0.056891894340515135,HLL,SHA-256,0.1752486347725366,3685.5797186466743,10
midsummer-nights-dream,128,3136,13609,0.03828165531158447,HLL,xxHash32,0.019358887786325465,3196.709472097916,10
midsummer-nights-dream,128,3136,13609,0.030159735679626466,HLL,Python Hash,0.1395289857825395,3573.5628994140434,10
midsummer-nights-dream,128,3136,13609,0.050906133651733396,HLL,RandomHashFamily,0.08389621808116131,2974.535202211877,10
midsummer-nights-dream,1024,3136,13609,0.057099556922912596,HLL,SHA-256,0.03875971134014848,3257.5504547627056,10
midsummer-nights-dream,1024,3136,13609,0.03855428695678711,HLL,xxHash32,0.004280667804774435,3149.424174235773,10
midsummer-nights-dream,1024,3136,13609,0.030034589767456054,HLL,Python Hash,0.06769253041089905,3348.283775368579,10
midsummer-nights-dream,1024,3136,13609,0.05061676502227783,HLL,RandomHashFamily,0.009660443251571008,3139.0661070208853,10
midsummer-nights-dream,2048,3136,13609,0.05684161186218262,HLL,SHA-256,0.014708988946047729,3089.8726106651948,10
midsummer-nights-dream,2048,3136,13609,0.038130974769592284,HLL,xxHash32,0.011819332795611372,3098.9345723529627,10
midsummer-nights-dream,2048,3136,13609,0.030719852447509764,HLL,Python Hash,0.037804116659358136,3254.5537098437476,10
